;vm_pu;va_degree;p_mw;q_mvar
14;1,0;0,0;-29,26862159312727;-6,53743842028583
13;0,994193809810582;-0,20168241092904673;2,0;1,5999999999999996
12;0,9913244108572637;-0,3749242170934827;3,0;0,3999999999999999
11;0,9758217932666042;-1,286577196100798;2,0;-0,3999999999999999
10;0,9764781462983667;-1,228852600693055;1,5;1,2000000000000002
9;0,979059630449006;-0,763489476696394;4,0;2,7
8;0,9710729687770604;-1,452342278956342;5,0;1,8
7;0,9769202476997605;-0,770078894786381;1,0;0,8999999999999999
6;0,9709588790795753;-1,525870730310811;0,5999999999999996;-0,5
5;0,9692662915093383;-1,836456397170434;4,5;-1,6999999999999997
4;0,9894547960032375;-0,5020257840518051;1,0;0,9
3;0,9898766178706749;-0,63013786495329;0,9999999999999996;-1,1
2;0,9829971420996207;-0,8875735848029913;1,0;0,9
1;0,980697385370325;-1,0206094594865935;2,1;-0,8
